nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Sắc Đẹp,Chăm sóc da mặt,Giấy thấm dầu,-,-,100903,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm trị mụn,-,-,100904,
Sắc Đẹp,Bộ sản phẩm làm đẹp,-,-,-,100665,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Xà phòng & sữa tắm,-,-,102003,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Tẩy tế bào chết cơ thể,-,-,102004,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Mặt nạ ủ cơ thể,-,-,102005,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Dầu dưỡng da,-,-,102006,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Kem & sữa dưỡng thể,-,-,102007,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Khử mùi cơ thể,-,-,102008,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Dầu massage,-,-,102009,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Kem tẩy lông & wax lông,-,-,102010,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Chống nắng,Chống nắng & chăm sóc sau đi nắng,-,102014,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Chống nắng,Thuốc nhuộm da,-,102015,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Chăm sóc ngực,-,-,102012,
Sắc Đẹp,Tắm & chăm sóc cơ thể,Khác,-,-,102013,
Sức Khỏe,Thực phẩm chức năng,Hỗ trợ kiểm soát cân nặng,-,-,100003,
Sức Khỏe,Thực phẩm chức năng,Hỗ trợ làm đẹp,-,-,100004,
Sức Khỏe,Thực phẩm chức năng,Hỗ trợ tăng cơ,-,-,100005,
Sức Khỏe,Thực phẩm chức năng,Hỗ trợ sức khỏe,-,-,100006,
Sức Khỏe,Vật tư y tế,Kiểm tra và theo dõi sức khỏe,Máy đo huyết áp,-,100420,
Sức Khỏe,Vật tư y tế,Kiểm tra và theo dõi sức khỏe,Máy đo lượng đường trong máu,-,100421,
Sức Khỏe,Vật tư y tế,Kiểm tra và theo dõi sức khỏe,Máy đo nồng độ oxy trong máu,-,100422,
Sức Khỏe,Vật tư y tế,Kiểm tra và theo dõi sức khỏe,Nhiệt kế,-,100423,
Sức Khỏe,Vật tư y tế,Kiểm tra và theo dõi sức khỏe,Khác,-,100424,
Sức Khỏe,Vật tư y tế,Cân sức khỏe và phân tích cơ thể,-,-,100122,
Sức Khỏe,Vật tư y tế,Chăm sóc mũi,-,-,100123,
Sức Khỏe,Vật tư y tế,Dụng cụ sơ cứu,Băng gạc y tế,-,100425,
Sức Khỏe,Vật tư y tế,Dụng cụ sơ cứu,Phụ kiện sơ cấp cứu,-,100426,
Sức Khỏe,Vật tư y tế,Dụng cụ sơ cứu,Kem và thuốc mỡ,-,100427,
Sức Khỏe,Vật tư y tế,Dụng cụ sơ cứu,Thuốc sát trùng & khử trùng y tế,-,100428,
Sức Khỏe,Vật tư y tế,Ống nghe y tế,-,-,100125,
Sức Khỏe,Vật tư y tế,Dụng cụ thí nghiệm,-,-,100127,
Sức Khỏe,Vật tư y tế,Bao tay và khẩu trang y tế,-,-,100128,
Sức Khỏe,Vật tư y tế,Hỗ trợ chấn thương và khuyết tật,Nạng chống,-,100430,
